iso_a3,region_id,country,income_id,gdp,population,total_waste,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,country_name,continent
VIR,Latin_America,Virgin Islands (U.S.),HIC,30436.564453125,105784,146500,46,7,7,12,15,13,NA,NA,NA,United States Virgin Islands,North America
GUM,East_Asia_Pacific,Guam,HIC,59074.94140625,159973,141500,27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,NA,Guam,Oceania
CPV,Sub-Saharan_Africa,Cabo Verde,LMC,6353.783203125,513979,132555,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cape Verde,Africa
DJI,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,NA,NA,NA,NA,NA,NA,NA,NA,NA,Djibouti,Africa
BTN,South_Asia,Bhutan,LMC,6743.01611328125,686958,111314.05,58,4,1,7,17,13,NA,NA,NA,Bhutan,Asia
NCL,East_Asia_Pacific,New Caledonia,HIC,57330.203125,278000,108157.384,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,New Caledonia,Oceania
BLZ,Latin_America,Belize,UMC,7259.0244140625,359288,101378.83030000002,47,8,5,5,16,19,NA,NA,NA,Belize,North America
COM,Sub-Saharan_Africa,Comoros,LIC,2959.5400390625,777424,91013,50,2,4,22,7,5,NA,NA,10,Comoros,Africa
ABW,Latin_America,Aruba,HIC,35563.3125,103187,88132.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aruba,North America
BMU,North_America,Bermuda,HIC,80982.3671875,64798,82000,17,9,6,26,29,13,NA,NA,NA,Bermuda,North America
SUR,Latin_America,Suriname,UMC,16953.802734375,526103,78619.79914999999,57,3,3,24,NA,11,NA,NA,NA,Suriname,South America
LCA,Latin_America,St. Lucia,UMC,14029.982421875,177206,77616.228,45,7,5,11,10,22,NA,NA,NA,Saint Lucia,North America
LSO,Sub-Saharan_Africa,Lesotho,LMC,1978.6083984375,1965662,73457,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lesotho,Africa
VUT,East_Asia_Pacific,Vanuatu,LMC,3061.787353515625,270402,70225.489,73.4,5.4,3.8,5.7,4.05,6.45,1.2,NA,NA,Vanuatu,Oceania
TLS,East_Asia_Pacific,Timor-Leste,LMC,3344.57373046875,1268671,63875,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,Timor-Leste,Asia
FRO,Europe_Central_Asia,Faeroe Islands,HIC,44402.87890625,48842,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faeroe Islands,Europe
CYM,Latin_America,Cayman Islands,HIC,66207.4453125,59172,60000,10.9,3.5,6.2,11.4,31.1,11,NA,7.3,18.6,Cayman Islands,North America
IMN,Europe_Central_Asia,Isle of Man,HIC,44203.62109375,80759,50551,NA,NA,NA,NA,NA,NA,NA,NA,NA,Isle of Man,Europe
GRL,Europe_Central_Asia,Greenland,HIC,43948.5625,56905,50000,42.8,7.1,2,33.4,11.4,2.4,NA,1,NA,Greenland,North America
SYC,Sub-Saharan_Africa,Seychelles,HIC,23302.953125,88303,48000,48.5,5.2,4.6,25.800000000000004,5.9,9.9,0.2,0.5,NA,Seychelles,Seven seas (open ocean)
MCO,Europe_Central_Asia,Monaco,HIC,43711.80078125,37783,46000,NA,3,2.2,NA,2.2,1,NA,NA,NA,Monaco,Europe
AND,Europe_Central_Asia,Andorra,HIC,43711.80078125,82431,43000,31.2,8.2,2.6,11.6,35.1,11.3,NA,NA,NA,Andorra,Europe
KIR,East_Asia_Pacific,Kiribati,LMC,2249.7685546875,114395,35723.8275,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,Kiribati,Oceania
KNA,Latin_America,St. Kitts and Nevis,HIC,25569.357421875,54288,32892.14,27.2,8.1,8.8,12.2,20.5,23.2,NA,NA,NA,Saint Kitts and Nevis,North America
MNP,East_Asia_Pacific,Northern Mariana Islands,HIC,60955.7265625,54036,32761.4145,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,Northern Mariana Islands,Oceania
LIE,Europe_Central_Asia,Liechtenstein,HIC,45726.98828125,36545,32382,37.6,5,12.5,9.1,30.3,5.4,NA,NA,NA,Liechtenstein,Europe
VCT,Latin_America,St. Vincent and the Grenadines,UMC,11971.9931640625,109455,31561.34925,49.6,5.6,3.8,10.5,22.1,8.4,NA,NA,NA,Saint Vincent and the Grenadines,North America
ATG,Latin_America,Antigua and Barbuda,HIC,17965.501953125,96777,30585,46,7,7,12,15,13,NA,NA,NA,Antigua and Barbuda,North America
GRD,Latin_America,Grenada,UMC,13207.7119140625,105481,29536.113936927773,27.1,3.1,2.4,36.5,13.6,16.4,0.9,NA,NA,Grenada,North America
WSM,East_Asia_Pacific,Samoa,UMC,6210.9833984375,187665,27399.09,42.6,2.2,8.8,19.4,7.2,13,6.8,NA,NA,Samoa,Oceania
FSM,East_Asia_Pacific,"Micronesia, Fed. Sts.",LMC,3440.064208984375,104937,26039.57,23.83,7.07,16.73,9.32,13.3,26.17,3.58,NA,NA,Federated States of Micronesia,Oceania
STP,Sub-Saharan_Africa,São Tomé and Príncipe,LMC,3720.786865234375,191266,25586.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,São Tomé and Principe,Africa
CUW,Latin_America,Curacao,HIC,27503.7890625,153822,24703.813200000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao,North America
VGB,Latin_America,British Virgin Islands,HIC,24215.8828125,20645,21099.19,6.5,18.1,8.6,4.8,33.5,6.3,NA,22.2,NA,British Virgin Islands,North America
ASM,East_Asia_Pacific,American Samoa,UMC,11113.4423828125,55599,18989.49,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,American Samoa,Oceania
TON,East_Asia_Pacific,Tonga,UMC,5636.41845703125,104951,17238.20175,51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,Tonga,Oceania
SMR,Europe_Central_Asia,San Marino,HIC,58806.19921875,33203,17174.68,5.35,5.61,0.9,65.56,13.21,5.6,NA,1.28,2.49,San Marino,Europe
GIB,Europe_Central_Asia,Gibraltar,HIC,43711.80078125,33623,16954,24.57,4.42,4.37,14.38,33.65,15.86,NA,NA,NA,NA,NA
MAF,Latin_America,St. Martin (French part),HIC,30385.89453125,30959,15479.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saint-Martin,North America
DMA,Latin_America,Dominica,UMC,11708.6396484375,72400,13176,45,8,5,14,12,16,NA,NA,NA,Dominica,North America
PLW,East_Asia_Pacific,Palau,HIC,18275.025390625,21503,9426.7455,26,5,10,9,15,32,1,NA,2,Palau,Oceania
MHL,East_Asia_Pacific,Marshall Islands,UMC,3628.895263671875,52793,8614,8,2,6,31,11,13,NA,NA,29,Marshall Islands,Oceania
NRU,East_Asia_Pacific,Nauru,UMC,11167.3193359375,13049,6191.7505,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,Nauru,Oceania
TUV,East_Asia_Pacific,Tuvalu,UMC,3793.127685546875,11097,3989.4865,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA
SXM,Latin_America,Sint Maarten (Dutch part),HIC,NA,37685,NA,46,7,7,12,15,13,NA,NA,NA,Sint Maarten,North America
TCA,Latin_America,Turks and Caicos Islands,HIC,28174.482421875,34900,NA,21.8,20.5,7.6,2.4,31.5,16.3,NA,NA,NA,Turks and Caicos Islands,North America
