iso_a3,region_id,country,income_id,gdp,population,total_waste,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,country_name,continent
CMR,Sub-Saharan_Africa,Cameroon,LMC,3262.763671875,21655716,3270616.59,83.4,0.1,0.7,10.4,2.1,3.3,NA,NA,NA,Cameroon,Africa
FIN,Europe_Central_Asia,Finland,HIC,48814.30859375,5520314,3124497.75,35.88,9.24,1.7,13.13,37.83,1.45,NA,0.73,NA,Finland,Europe
AZE,Europe_Central_Asia,Azerbaijan,UMC,14853.91015625,9649341,2930349,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,Azerbaijan,Asia
IRL,Europe_Central_Asia,Ireland,HIC,83388.71875,4867316,2910655,16.6,8.5,3.7,25.8,25,12.4,NA,1.9,6.1,Ireland,Europe
MNG,East_Asia_Pacific,Mongolia,LMC,10940.4150390625,3027398,2900000,22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,Mongolia,Asia
BGR,Europe_Central_Asia,Bulgaria,UMC,22279.361328125,7025037,2859190,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,Bulgaria,Europe
SDN,Sub-Saharan_Africa,Sudan,LMC,4191.8232421875,38647804,2831291,51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,Sudan,Africa
GTM,Latin_America,Guatemala,UMC,8125.36474609375,16252429,2756740.97135,37.7144911834619,4.391835579814286,NA,18.01847364137028,16.046702153078943,17.290808751009344,NA,NA,6.537688691265234,Guatemala,North America
TUN,Middle_East_North_Africa,Tunisia,LMC,10505.2626953125,11143908,2700000,68,2,4,5,10,11,NA,NA,NA,Tunisia,Africa
CUB,Latin_America,Cuba,UMC,12984.7109375,11303687,2692691.98,68.9,4.6,1.6,3,12.3,9.6,NA,NA,NA,Cuba,North America
SSD,Sub-Saharan_Africa,South Sudan,LIC,1795.991943359375,11177490,2680681,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Sudan,Africa
LKA,South_Asia,Sri Lanka,LMC,12287.47265625,21203000,2631650,62,2,3,13,7,7,NA,6,NA,Sri Lanka,Asia
ZMB,Sub-Saharan_Africa,Zambia,LMC,3201.289306640625,14264756,2608268,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zambia,Africa
BFA,Sub-Saharan_Africa,Burkina Faso,LIC,1925.3311767578125,18110624,2575251.11,21,1,1,61,7,9,NA,NA,NA,Burkina Faso,Africa
JOR,Middle_East_North_Africa,Jordan,UMC,10413.17578125,8413464,2529997,50,2,1.5,15.5,15,16,NA,NA,NA,Jordan,Asia
MOZ,Sub-Saharan_Africa,Mozambique,LIC,1217.0902099609375,27212382,2500000,60,NA,NA,15,25,NA,NA,NA,NA,Mozambique,Africa
SEN,Sub-Saharan_Africa,Senegal,LIC,3067.66259765625,15411614,2454059.25,12,2,2,68,5,9,NA,2,NA,Senegal,Africa
SRB,Europe_Central_Asia,Serbia,UMC,18351.2734375,6944975,2347401.5,37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,Serbia,Europe
SOM,Sub-Saharan_Africa,Somalia,LIC,1862.6141357421875,14317996,2326099.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somalia,Africa
HTI,Latin_America,Haiti,LIC,2952.61865234375,10847334,2309852.45485,61.3,1.6,2.5,16.80000000000001,4.1,12.7,NA,1,NA,Haiti,North America
SVK,Europe_Central_Asia,Slovak Republic,HIC,31965.76171875,5454073,2296164.75,42,19,2,1,25,11,NA,NA,NA,Slovakia,Europe
BOL,Latin_America,Bolivia,LMC,7984.41357421875,10724705,2219052,55.19691119691119,2.903474903474903,2.501930501930502,22.702702702702705,6.501930501930501,10.193050193050194,NA,NA,NA,Bolivia,South America
HND,Latin_America,Honduras,LMC,5395.61376953125,9112867,2162027.69575,57.9,1.27,2.11,6.62,17.36,14.41,0.33,NA,NA,Honduras,North America
LBY,Middle_East_North_Africa,Libya,UMC,8479.9462890625,6193501,2147596.47175,70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,Libya,Africa
LBN,Middle_East_North_Africa,Lebanon,UMC,16966.740234375,5603279,2040000,52.5,3.5,5.5,11,16,11.5,NA,NA,NA,Lebanon,Asia
MLI,Sub-Saharan_Africa,Mali,LIC,2007.8060302734375,16006670,1937354.44,17.5,1,3.5,72.5,3.5,2,NA,NA,NA,Mali,Africa
BDI,Sub-Saharan_Africa,Burundi,LIC,839.77850341796875,6741569,1872016,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,Burundi,Africa
SGP,East_Asia_Pacific,Singapore,HIC,97341.46875,5703600,1870000,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,Singapore,Asia
NER,Sub-Saharan_Africa,Niger,LIC,1038.22412109375,8842415,1865645.67,38,NA,1,57,2,2,NA,NA,NA,Niger,Africa
PRY,Latin_America,Paraguay,UMC,11810.427734375,6639119,1818501.3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paraguay,South America
HRV,Europe_Central_Asia,Croatia,HIC,28829.35546875,4067500,1810037.5,30.9,3.7,2.1,11.5,23.2,22.9,NA,NA,5.7,Croatia,Europe
TJK,Europe_Central_Asia,Tajikistan,LIC,2616.4755859375,8177809,1787400,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tajikistan,Asia
NPL,South_Asia,Nepal,LIC,2902.249267578125,28982772,1768977.49,52.39,4.36,1.9,7.12,18.21,15.14,0.9,NA,NA,Nepal,Asia
KWT,Middle_East_North_Africa,Kuwait,HIC,58810.30078125,2998083,1750000,45,4,2,8,20,20,NA,1,1,Kuwait,Asia
OMN,Middle_East_North_Africa,Oman,HIC,30535.833984375,3960925,1734885.15,27,6,NA,24,15,21,NA,2,5,Oman,Asia
SLV,Latin_America,El Salvador,LMC,7328.71337890625,6164626,1648996.18,65,4,2,7,12,10,NA,NA,NA,El Salvador,North America
NIC,Latin_America,Nicaragua,LMC,4611.84033203125,5737723,1528816.29335,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicaragua,North America
PAN,Latin_America,Panama,HIC,28436.359375,3969249,1472262.2151499998,46.4,5.8,3.8,5.7,26.3,12,NA,NA,NA,Panama,North America
CRI,Latin_America,Costa Rica,UMC,18168.71484375,4757575,1460000,58,1,2,7,21,11,NA,NA,NA,Costa Rica,North America
ZWE,Sub-Saharan_Africa,Zimbabwe,LIC,3190.506591796875,12500525,1449752,36,5,6,3,27,23,NA,NA,NA,Zimbabwe,Africa
PSE,Middle_East_North_Africa,West Bank and Gaza,LMC,5985.68310546875,4046901,1387000,59.1,2.4,2.7,11.5,10.1,14.2,NA,NA,NA,Palestine,Asia
TCD,Sub-Saharan_Africa,Chad,LIC,1732.6912841796875,11887202,1358850.53,70,1,2,18,3,6,NA,NA,NA,Chad,Africa
LTU,Europe_Central_Asia,Lithuania,HIC,37278.3046875,2786844,1315390.375,40.4,8.65,2.75,44.05,10.05,10.15,NA,0.6,NA,Lithuania,Europe
MWI,Sub-Saharan_Africa,Malawi,LIC,999.4413452148436,16577147,1297844.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malawi,Africa
URY,Latin_America,Uruguay,HIC,20588.392578125,3431552,1260139.5086500002,53.5,3,5,7.5,20,11,NA,NA,NA,Uruguay,South America
BIH,Europe_Central_Asia,Bosnia and Herzegovina,UMC,12671.0078125,3535961,1248718,NA,NA,NA,92.7,4.9,NA,NA,NA,2.4,Bosnia and Herzegovina,Europe
KGZ,Europe_Central_Asia,Kyrgyz Republic,LMC,4805.14111328125,5956900,1113300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kyrgyzstan,Asia
TGO,Sub-Saharan_Africa,Togo,LIC,1404.1329345703125,7228915,1109030.45,38,2,4,42,4,10,NA,NA,NA,Togo,Africa
CAF,Sub-Saharan_Africa,Central African Republic,LIC,822.6104736328125,4515392,1105983,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central African Republic,Africa
KHM,East_Asia_Pacific,Cambodia,LMC,3364.27880859375,15270790,1089000,66.6,2.6,2,10.4,4,8.6,NA,5.8,NA,Cambodia,Asia
ALB,Europe_Central_Asia,Albania,UMC,13724.05859375,2854191,1087446.75,51.4,4.5,4.8,15.21,9.9,9.6,NA,4.6,NA,Albania,Europe
SVN,Europe_Central_Asia,Slovenia,HIC,39037.93359375,2087946,1052324.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slovenia,Europe
JAM,Latin_America,Jamaica,UMC,9550.810546875,2881355,1051694.575,62.22,2.81,2.38,5.13,14.73,12.2,NA,0.53,NA,Jamaica,North America
QAT,Middle_East_North_Africa,Qatar,HIC,96261.6640625,2109568,1000990.016,57,4,9,5,11,14,NA,NA,NA,Qatar,Asia
PNG,East_Asia_Pacific,Papua New Guinea,LMC,3912.381103515625,7755785,1000000,31,NA,NA,42,16.6,10,NA,NA,NA,Papua New Guinea,Oceania
BHR,Middle_East_North_Africa,Bahrain,HIC,47937.77734375,1425171,951942.96945,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,Bahrain,Asia
LVA,Europe_Central_Asia,Latvia,HIC,30982.173828125,1912789,839714.375,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,NA,Latvia,Europe
